Experiment,Dataset,Model,IoU,F1,Precision,Recall,Pixel Accuracy,TP,TN,FP,FN,Background IoU,Mean IoU,Specificity
Exp A (Stage 1 -> US NAIP),US Southeast Test,SegFormer-B2 (nvidia/mit-b2),0.4570803229444674,0.6273920740632879,0.7353802482887479,0.5470583518216567,0.9907266616821289,40932,5153329,14729,33890,0.9906536935778674,0.7238670082611673,0.9971499932856791
Exp B (Stage 1 -> Calgary [Zero-Shot]),Calgary Val/Test,SegFormer-B2 (nvidia/mit-b2),0.7613007314435337,0.8644755751842377,0.8135019444898518,0.9222641948545336,0.9744050979614258,427985,4680704,98117,36074,0.9721300256807262,0.86671537856213,0.97946836677917
Exp C (Stage 2 -> Calgary [Fine-Tuned]),Calgary Val/Test,SegFormer-B2 (nvidia/mit-b2),0.960132265629952,0.9796606917455974,0.9800906714518648,0.979231089150302,0.996401023864746,454421,4769590,9231,9638,0.9960594838548268,0.9780958747423893,0.9980683520056516
Exp D (Stage 2 -> US [Retention]),US Southeast Test,SegFormer-B2 (nvidia/mit-b2),0.03266918447146117,0.06327134567917189,0.9566236811254393,0.03271764988907006,0.9861745834350586,2448,5167947,111,72374,0.9861681250706049,0.5094186547710331,0.9999785219128733
