,TP,TN,FP,FN,Pixel Accuracy,Precision,Recall,F1,IoU,Background IoU,Mean IoU,Specificity,FPR,FNR
Exp A (Stage 1 -> US NAIP),40932.0,5153329.0,14729.0,33890.0,0.9907266616821289,0.7353802482887479,0.5470583518216567,0.6273920740632879,0.4570803229444674,0.9906536935778674,0.7238670082611673,0.9971499932856791,0.0028500067143209305,0.45294164817834326
Exp B (Stage 1 -> Calgary [Zero-Shot]),427985.0,4680704.0,98117.0,36074.0,0.9744050979614258,0.8135019444898518,0.9222641948545336,0.8644755751842377,0.7613007314435337,0.9721300256807262,0.86671537856213,0.97946836677917,0.02053163322082999,0.07773580514546642
Exp C (Stage 2 -> Calgary [Fine-Tuned]),454421.0,4769590.0,9231.0,9638.0,0.996401023864746,0.9800906714518648,0.979231089150302,0.9796606917455974,0.960132265629952,0.9960594838548268,0.9780958747423893,0.9980683520056516,0.001931647994348397,0.02076891084969799
Exp D (Stage 2 -> US [Retention]),2448.0,5167947.0,111.0,72374.0,0.9861745834350586,0.9566236811254393,0.03271764988907006,0.06327134567917189,0.03266918447146117,0.9861681250706049,0.5094186547710331,0.9999785219128733,2.1478087126731163e-05,0.9672823501109299
